,传染病和事件信息报告系统,全国动物疫情风险监测预警系统,农作物病虫疫情监测预警系统,海关卫生检疫系统,重大林草植物疫情及外来入侵物种监测预警系统,陆生野生动物疫源疫病监测预警系统,病原智能监测预警系统（知识）,病原智能监测预警系统（数据）,生物舆情监测平台
肺组织胞浆菌病(未分型),,,,yes,,,,,
荚膜组织胞浆菌病 NOS(未分型),,,,yes,,,,,
杜波依西变种组织胞浆菌病(未分型),,,,yes,,,,,
组织胞浆菌病 NOS(未分型),,,,yes,,,,,
肺芽生菌病 NOS(未分型),,,,yes,,,,,
类球孢子菌病 NOS(未分型),,,,yes,,,,,
孢子丝菌病 NOS(未分型),,,,yes,,,,,
着色真菌病 NOS(未分型),,,,yes,,,,,
隐球菌病 NOS(未分型),,,,yes,,,,,
毛霉菌病(藻菌病) NOS(未分型),,,,yes,,,,,
藻菌病(未分型),,,,yes,,,,,
接合菌病 NOS(未分型),,,,yes,,,,,
蜱媒介的斑疹伤寒 NOS,,,,yes,,,,,
立克次氏体病 NOS,,,,yes,,,,,
立克次体感染 NOS,,,,yes,,,,,
莱姆病,,,,yes,,,,,
螺旋体感染 NOS,,,,yes,,,,,
鹦鹉热,,,,yes,,,,,
鸟疫,,,,yes,,,,,
斑疹热[蜱媒介的立克次氏体病] NOS,,,,yes,,,,,
人粒细胞无形体病,,,,yes,,,,,
人粒细胞无形体病(未分型),,,,yes,,,,,
麦地那龙线虫病（几内亚蠕虫病） ,,,,yes,,,,,
麦地那龙线虫病（几内亚蠕虫病） (未分型),,,,yes,,,,,
弯曲菌病,,,,yes,,,,,
弯曲菌病(未分型),,,,yes,,,,,
恙虫病(未分型),,,,yes,,,,,
恙虫病,,,,yes,,,,,
流行性病毒性诺瓦克型胃肠病(未分型),,,,yes,,,,,
雅司病 NOS(未分型),,,,yes,,,,,
小圆结构病毒性肠炎(未分型),,,,yes,,,,,
直布罗陀热(西班牙),,,,yes,,,,,
流产布鲁氏菌病,,,,yes,,,,,
细菌性食物中毒(未分型),,,,yes,,,,,
食物中毒 NOS(未分型),,,,yes,,,,,
胃肠型食物中毒(未分型),,,,yes,,,,,
香肠(腊肠)食物中毒(未分型),,,,yes,,,,,
链杆菌性鼠咬热,,,,yes,,,,,
新生儿破伤风,,,,yes,,,,,
血吸虫病,,,,yes,,,,,
逆病毒感染,,,,yes,,,,,
传染性淋巴细胞增多症,,,,yes,,,,,
急性传染性淋巴细胞增多症,,,,yes,,,,,
塔希纳热,,,,yes,,,,,
埃可病毒感染,,,,yes,,,,,
柯萨奇病毒感染,,,,yes,,,,,
小孢子菌病,,,,yes,,,,,
原生动物性疾病 NOS,,,,yes,,,,,
吸虫病,,,,yes,,,,,
感染,,,,yes,,,,,
感染性发热,,,,yes,,,,,
感染后脑积水,,,,yes,,,,,
其他传染病,,,,yes,,,,,
流行性和地方性斑疹伤寒,,,,yes,,,,,
丝虫病,,,,yes,,,,,
急性出血性结膜炎,,,,yes,,,,,
绦虫病 NOS,,,,yes,,,,,
囊尾蚴病[囊虫病] NOS,,,,yes,,,,,
囊虫感染,,,,yes,,,,,
河盲病,,,,yes,,,,,
旋盘尾丝虫感染,,,,yes,,,,,
旋毛虫病,,,,yes,,,,,
钩虫病 NOS,,,,yes,,,,,
蛔虫病 NOS,,,,yes,,,,,
马亚罗热,,,,yes,,,,,
足分支菌病 NOS(未分型),,,,yes,,,,,
霉菌感染(未分型),,,,yes,,,,,
真菌病(未分型),,,,yes,,,,,
脑锥虫病(未分型),,,,yes,,,,,
昏睡病 NOS(未分型),,,,yes,,,,,
弓形体病 NOS(未分型),,,,yes,,,,,
肺囊虫病(未分型),,,,yes,,,,,
肺囊虫性肺炎(未分型),,,,yes,,,,,
盘尾丝虫病,,,,yes,,,,,
类圆线虫病 NOS,,,,yes,,,,,
肠蠕虫病 NOS,,,,yes,,,,,
蝇蛆病 NOS,,,,yes,,,,,
链球菌作为分类于其他章疾病的原因 NOS,,,,yes,,,,,
急性脑膜脑炎,,,,yes,,,,,
沙粒病毒性出血热 NOS,,,,yes,,,,,
病毒性出血热 NOS,,,,yes,,,,,
病毒性疣,,,,yes,,,,,
外耳道疣,,,,yes,,,,,
传染性软疣,,,,yes,,,,,
流行性眩晕(未分型),,,,yes,,,,,
中枢神经系统其他特指的病毒性感染(未分型),,,,yes,,,,,
类鼻疽败血症,,,,yes,,,,,
螺菌病(未分型),,,,yes,,,,,
血吸虫病(未分型),,,,yes,,,,,
其他未特指部位的病毒ＥＢ感染(未分型),,,,yes,,,,,
念珠菌感染(未分型),,,,yes,,,,,
肺荚膜组织胞浆菌病 NOS(未分型),,,,yes,,,,,
巴贝虫病(未分型),,,,yes,,,,,
纳格勒阿米巴病脑炎(未分型),,,,yes,,,,,
鼠咬热 NOS(未分型),,,,yes,,,,,
类丹毒 NOS(未分型),,,,yes,,,,,
动物传染的细菌性疾病 NOS(未分型),,,,yes,,,,,
非典型性分枝杆菌感染 NOS(未分型),,,,yes,,,,,
利什曼病,,,,yes,,,,,
汉坦病毒感染,,,,yes,,,,,
肠病毒脑炎、脊髓炎或脑脊髓炎,,,,yes,,,,,
鞭虫病,,,,yes,,,,,
蛲虫病,,,,yes,,,,,
混合型蠕虫病 NOS,,,,yes,,,,,
肠道寄生虫病 NOS,,,,yes,,,,,
伤 寒,,,,yes,,,,,
小袋虫病(未分型),,,,yes,,,,,
肠梨形鞭毛虫病[蓝氏贾第鞭毛虫病](未分型),,,,yes,,,,,
隐孢子虫病(未分型),,,,yes,,,,,
等孢子球虫病(球虫病)(未分型),,,,yes,,,,,
肠道球虫病(未分型),,,,yes,,,,,
肠道滴虫病(未分型),,,,yes,,,,,
肠道毛滴虫病(未分型),,,,yes,,,,,
鞭毛虫性腹泻(未分型),,,,yes,,,,,
原生动物性结肠炎(未分型),,,,yes,,,,,
原生动物性腹泻(未分型),,,,yes,,,,,
诺瓦克病毒肠炎(未分型),,,,yes,,,,,
流行性感冒-甲型未分型,,,,yes,,,,,
流行性感冒-甲型H5,,,,yes,,,,,
中枢神经系统的病毒性感染 NOS(未分型),,,,yes,,,,,
奥尼昂-尼昂热(未分型),,,,yes,,,,,
委内瑞拉马型脑炎、脑脊髓炎或脊髓炎(未分型),,,,yes,,,,,
裂谷热(未分型),,,,yes,,,,,
其他特指的蚊媒介的病毒性发热(未分型),,,,yes,,,,,
蚊媒介的病毒性发热 NOS(未分型),,,,yes,,,,,
卵形疟,,,,yes,,,,,
虫媒介病毒性发热(未分型),,,,yes,,,,,
沙门氏菌感染 NOS,,,,yes,,,,,
人类偏肺病毒,,,,人类偏肺病毒(未分型)、人类偏肺病毒(未分型),,,,yes,
细菌性食物中毒,,,,yes,,,,,
蠕虫病 NOS,,,,yes,,,,,
虱病 NOS,,,,yes,,,,,
疥疮,,,,yes,,,,,
螨病 NOS,,,,yes,,,,,
寄生虫感染 NOS,,,,yes,,,,,
传染病或寄生虫病后遗症 NOS,,,,yes,,,,,
葡萄球菌作为分类于其他章疾病的原因 NOS,,,,yes,,,,,
东方马脑炎,,,,yes,,,,,
丙型脑炎,,,,yes,,,,,
昆金病毒病,,,,yes,,,,,
白喉,,,,yes,,,,,
若西欧病毒病,,,,yes,,,,,
其他蚊媒介的病毒性脑炎,,,,yes,,,,,
李斯特菌病[李司忒氏菌病] NOS(未分型),,,,yes,,,,,
破伤风 NOS(未分型),,,,yes,,,,,
链球菌性败血症 NOS(未分型),,,,yes,,,,,
朱宁出血热(未分型),,,,yes,,,,,
拉沙热(未分型),,,,yes,,,,,
其他沙粒病毒性出血热(未分型),,,,yes,,,,,
中亚出血热(未分型),,,,yes,,,,,
夸赛纳森林病(未分型),,,,yes,,,,,
汉坦病毒病,,,,yes,,,,,
克里米亚-刚国出血热(未分型),,,,yes,,,,,
单纯疱疹 NOS,,,,yes,,,,,
水痘[羊痘] NOS(未分型),,,,yes,,,,,
寻常疣(未分型),,,,yes,,,,,
疣(未分型),,,,yes,,,,,
指状疣(未分型),,,,yes,,,,,
牛痘(未分型),,,,yes,,,,,
触染性脓疱性皮炎(未分型),,,,yes,,,,,
流行性感冒-甲型H3,,,,yes,,,,,
流行性感冒-甲型H1N1,,,,yes,,,,,
流行性感冒-甲型H1,,,,yes,,,,,
流行性感冒-乙型(Victoria lineage),,,,yes,,,,,
流行性感冒-乙型未分型,,,,yes,,,,,
流行性感冒-乙型(Yamagata lineage),,,,yes,,,,,
败血症 NOS(未分型),,,,yes,,,,,
放线菌病 NOS(未分型),,,,yes,,,,,
诺卡氏[放线]菌病 NOS(未分型),,,,yes,,,,,
阿米巴性痢疾,,,,yes,,,,,
波伊德细菌性痢疾,,,,yes,,,,,
沙门氏菌感染,,,,yes,,,,,
大肠杆菌感染,,,,yes,,,,,
大肠埃希氏杆菌感染(大肠杆菌),,,,yes,,,,,
布鲁氏菌,,,,yes,,,,,
病毒性肝炎,,,,yes,,,,,
鼻疽和类鼻疽,,,,yes,,,,,
包虫病,,,,yes,,,,,
ＥＢ病毒感染,,,,yes,,,,,
巴尔通体病 NOS(未分型),,,,yes,,,,,
丹毒(未分型),,,,yes,,,,,
蚊媒介的病毒性脑炎 NOS,,,,yes,,,,,
森林脑炎[蜱传脑炎],,,,yes,,,,,
中部欧洲蜱媒介脑炎,,,,yes,,,,,
波瓦桑病毒病,,,,yes,,,,,
羊跳跃病,,,,yes,,,,,
蜱媒介的病毒性脑炎 NOS,,,,yes,,,,,
节肢动物媒介的病毒性脑炎 NOS,,,,yes,,,,,
流行性脑脊髓炎[克律歇氏病],,,,yes,,,,,
昏睡性脑炎[埃科若莫氏病],,,,yes,,,,,
其他布鲁氏菌病,,,,yes,,,,,
其他类鼻疽,,,,yes,,,,,
流行性关节红斑[哈弗山](未分型),,,,yes,,,,,
蝇疫霉病(未分型),,,,yes,,,,,
放线菌瘤(未分型),,,,yes,,,,,
三日疟 NOS,,,,yes,,,,,
查加斯病[美洲锥虫病]伴有累及其他器官(未分型),,,,yes,,,,,
原发性阿米巴性脑膜脑炎(未分型),,,,yes,,,,,
钩端螺旋体病 NOS(未分型),,,,yes,,,,,
菌血症 NOS(未分型),,,,yes,,,,,
泌尿生殖道衣原体感染(未分型),,,,yes,,,,,
走马疳[口颊坏疽、走马牙疳](未分型),,,,yes,,,,,
沙眼 NOS(未分型),,,,yes,,,,,
寇(Ｑ)热(未分型),,,,yes,,,,,
曲霉菌病(曲菌病) NOS(未分型),,,,yes,,,,,
疱疹性咽峡炎,,,,yes,,,,,
急性淋巴结节性咽炎,,,,yes,,,,,
肠病毒性淋巴结咽炎,,,,yes,,,,,
罗斯河热,,,,yes,,,,,
奥罗普什热,,,,yes,,,,,
其它蜱媒介的出血热,,,,yes,,,,,
新生儿流行性心肌炎[柯萨奇病毒性],,,,yes,,,,,
葡萄球菌性食物中毒,,,,yes,,,,,
猪腹病,,,,yes,,,,,
大肠杆菌性食物中毒,,,,yes,,,,,
嗜睡性脑炎[流行性甲型脑炎],,,,yes,,,,,
冯.埃科诺莫-克吕谢病,,,,yes,,,,,
病毒性脑膜脑炎,,,,yes,,,,,
病毒性脑炎,,,,yes,,,,,
急性脑炎,,,,yes,,,,,
流行性脑炎,,,,yes,,,,,
肠病毒性发疹热(波士顿疹病),,,,yes,,,,,
流行性眩晕,,,,yes,,,,,
中枢神经系统其他特指的病毒性感染,,,,yes,,,,,
中枢神经系统的病毒性感染 NOS,,,,yes,,,,,
基孔肯雅热,,,,yes,,,,,
奥尼昂-尼昂热,,,,yes,,,,,
委内瑞拉马型脑炎、脑脊髓炎或脊髓炎,,,,yes,,,,,
细小的病毒感染 NOS,,,,yes,,,,,
乳头多瘤空泡病毒感染 NOS,,,,yes,,,,,
其他未特指部位的病毒ＥＢ感染,,,,yes,,,,,
病毒感染 NOS,,,,yes,,,,,
癣 NOS,,,,yes,,,,,
霉菌性皮炎 NOS,,,,yes,,,,,
表面的霉菌病 NOS,,,,yes,,,,,
念珠菌感染,,,,yes,,,,,
鹅口疮 NOS,,,,yes,,,,,
球孢子菌病,,,,yes,,,,,
肺组织胞浆菌病,,,,yes,,,,,
肺荚膜组织胞浆菌病 NOS,,,,yes,,,,,
荚膜组织胞浆菌病 NOS,,,,yes,,,,,
杜波依西变种组织胞浆菌病,,,,yes,,,,,
肺芽生菌病 NOS,,,,yes,,,,,
芽生菌病(酿母菌病) NOS,,,,yes,,,,,
类球孢子菌病 NOS,,,,yes,,,,,
孢子丝菌病 NOS,,,,yes,,,,,
着色真菌病 NOS,,,,yes,,,,,
曲霉菌病(曲菌病) NOS,,,,yes,,,,,
霉菌性足分支菌病(未分型),,,,yes,,,,,
利什曼病 NOS,,,,yes,,,,,
卡氏肺囊虫性肺炎(未分型),,,,yes,,,,,
纳归虫病性脑炎、脊髓炎或脑脊髓炎(未分型),,,,yes,,,,,
链球菌感染综合症(未分型),,,,yes,,,,,
绿脓杆菌感染(未分型),,,,yes,,,,,
幽门螺旋杆菌感染(未分型),,,,yes,,,,,
毛滴虫病 NOS(未分型),,,,yes,,,,,
品他病 NOS(未分型),,,,yes,,,,,
螺旋体感染 NOS(未分型),,,,yes,,,,,
斑疹热[蜱媒介的立克次氏体病] NOS(未分型),,,,yes,,,,,
原生动物性疾病 NOS(未分型),,,,yes,,,,,
其他传染病(未分型),,,,yes,,,,,
丝虫病(未分型),,,,yes,,,,,
多房棘球绦虫感染 NOS,,,,yes,,,,,
囊虫感染(未分型),,,,yes,,,,,
钩虫病 NOS(未分型),,,,yes,,,,,
蛲虫病(未分型),,,,yes,,,,,
蠕虫病 NOS(未分型),,,,yes,,,,,
寄生虫感染 NOS(未分型),,,,yes,,,,,
东方马脑炎(未分型),,,,yes,,,,,
芽生菌病(酿母菌病) NOS(未分型),,,,yes,,,,,
流行性呕吐综合征[布拉德利病](未分型),,,,yes,,,,,
隐球菌病 NOS,,,,yes,,,,,
毛霉菌病(藻菌病) NOS,,,,yes,,,,,
藻菌病,,,,yes,,,,,
接合菌病 NOS,,,,yes,,,,,
霉菌性足分支菌病,,,,yes,,,,,
足分支菌病 NOS,,,,yes,,,,,
霉菌感染,,,,yes,,,,,
真菌病,,,,yes,,,,,
脑锥虫病,,,,yes,,,,,
细菌性痢疾(未分型),,,,yes,,,,,
纹带棒杆菌,,,,,,,,yes,
屎肠球菌,,,,,,,,yes,
人类α疱疹病毒1型(HSV1),,,,,,,,yes,
嗜麦芽窄食单胞菌,,,,,,,,yes,
人类γ疱疹病毒4型(EBV),,,,,,,,yes,
白念珠菌,,,,,,,,yes,
鲍曼不动杆菌,,,,,,,,yes,
人类β疱疹病毒5型(CMV),,,,,,,,yes,
耶氏肺孢子菌,,,,,,,,yes,
多形拟杆菌,,,,,,,,yes,
昂氏另枝菌,,,,,,,,yes,
Ruthenibacterium_lactatiformans,,,,,,,,yes,
Erysipelatoclostridium_ramosum,,,,,,,,yes,
粪考拉杆菌,,,,,,,,yes,
细环病毒,,,,,,,,yes,
细环病毒16型,,,,,,,,yes,
人多瘤病毒3型,,,,,,,,yes,
人类β疱疹病毒7型,,,,,,,,yes,
铜绿假单胞菌,,,,,,,,yes,
细环病毒15型,,,,,,,,yes,
TTV样微小病毒,,,,,,,,yes,
热带念珠菌,,,,,,,,yes,
库德里阿兹威毕赤酵母,,,,,,,,yes,
葡萄牙棒孢酵母,,,,,,,,yes,
赭曲霉,,,,,,,,yes,
木糖氧化无色杆菌,,,,,,,,yes,
粪肠球菌,,,,,,,,yes,
产酸克雷伯菌,,,,,,,,yes,
光滑念珠菌,,,,,,,,yes,
奇异变形杆菌,,,,,,,,yes,
摩根摩根菌,,,,,,,,yes,
鹦鹉热衣原体,,,,,,,,yes,
淡紫紫孢菌,,,,,,,,yes,
人类β疱疹病毒6B型,,,,,,,,yes,
清酒念珠菌,,,,,,,,yes,
烟曲霉,,,,,,,,yes,
瑞典创伤球菌,,,,,,,,yes,
大肠埃希菌,,,,,,,,yes,
群集裂褶菌,,,,,,,,yes,
哈茨木霉,,,,,,,,yes,
医院不动杆菌,,,,,,,,yes,
产吲哚金黄杆菌,,,,,,,,yes,
布甘多肠杆菌,,,,,,,,yes,
人类β疱疹病毒6A型,,,,,,,,yes,
皮特不动杆菌,,,,,,,,yes,
人多瘤病毒5型,,,,,,,,yes,
小孢根霉,,,,,,,,yes,
三角孢小囊菌,,,,,,,,yes,
嗜碱外瓶霉,,,,,,,,yes,
匍枝根霉,,,,,,,,yes,
波兰青霉,,,,,,,,yes,
海枣曲霉,,,,,,,,yes,
细环病毒3型,,,,,,,,yes,
东方伊蒙菌,,,,,,,,yes,
小细环病毒2型,,,,,,,,yes,
细环病毒1型,,,,,,,,yes,
阴道加德纳菌,,,,,,,,yes,
近平滑念珠菌,,,,,,,,yes,
脑膜脓毒伊丽莎白菌,,,,,,,,yes,
黏质沙雷菌,,,,,,,,yes,
细环病毒6型,,,,,,,,yes,
类肺炎克雷伯菌,,,,,,,,yes,
多食伯克霍尔德菌,,,,,,,,yes,
肝炎GB病毒C型,,,,,,,,yes,
惠普尔养障体,,,,,,,,yes,
不同军团菌,,,,,,,,yes,
黄孢原毛平革菌,,,,,,,,yes,
Naganishia_albida,,,,,,,,yes,
百岁兰曲霉,,,,,,,,yes,
微小根毛霉,,,,,,,,yes,
阴沟肠杆菌,,,,,,,,yes,
慢生黄分枝杆菌,,,,,,,,yes,
曲霉*,,,,,,,,yes,
琼氏不动杆菌,,,,,,,,yes,
人偏肺病毒,,,,,,,,yes,
弗劳地柠檬酸杆菌,,,,,,,,yes,
霍氏肠杆菌,,,,,,,,yes,
人型支原体,,,,,,,,yes,
指状青霉,,,,,,,,yes,
偶发分枝杆菌,,,,,,,,yes,
阿萨希毛孢子菌,,,,,,,,yes,
新洋葱伯克霍尔德菌,,,,,,,,yes,
无乳链球菌,,,,,,,,yes,
外来分枝杆菌,,,,,,,,yes,
产气克雷伯菌,,,,,,,,yes,
细小脲原体,,,,,,,,yes,
鸟肠球菌,,,,,,,,yes,
米曲霉/黄曲霉,,,,,,,,yes,
柠檬明串珠菌,,,,,,,,yes,
构巢曲霉,,,,,,,,yes,
亚特兰大莫拉菌,,,,,,,,yes,
平常念珠菌,,,,,,,,yes,
互隔链格孢菌,,,,,,,,yes,
离生青霉,,,,,,,,yes,
异栖克雷伯菌,,,,,,,,yes,
罗根坎普氏肠杆菌,,,,,,,,yes,
土曲霉,,,,,,,,yes,
鱼乳球菌,,,,,,,,yes,
戴尔凯孢圆酵母,,,,,,,,yes,
马克思克鲁维酵母,,,,,,,,yes,
白地霉,,,,,,,,yes,
冠突曲霉,,,,,,,,yes,
Cyberlindnera_jadinii,,,,,,,,yes,
威尼克外瓶霉,,,,,,,,yes,
人类疱疹病毒4型1亚型(EBV-1),,,,,,,,yes,
图宾根曲霉,,,,,,,,yes,
新生隐球菌,,,,,,,,yes,
阴道陌生菌,,,,,,,,yes,
人多瘤病毒6型,,,,,,,,yes,
密歇根克雷伯菌,,,,,,,,yes,
斯尼斯菌*,,,,,,,,yes,
人类α疱疹病毒3型(VZV),,,,,,,,yes,
类焦曲霉,,,,,,,,yes,
蜡样芽胞杆菌,,,,,,,,yes,
神户肠杆菌,,,,,,,,yes,
卡他莫拉菌,,,,,,,,yes,
灰绿曲霉,,,,,,,,yes,
牙髓卟啉单胞菌,,,,,,,,yes,
咽峡炎链球菌,,,,,,,,yes,
具核梭杆菌,,,,,,,,yes,
洛氏普雷沃菌,,,,,,,,yes,
侵肺戴阿李斯特菌,,,,,,,,yes,
疾病卡托菌,,,,,,,,yes,
成双厌氧球形菌,,,,,,,,yes,
直肠弯曲菌,,,,,,,,yes,
米根霉,,,,,,,,yes,
加勒比麦尔酵母菌,,,,,,,,yes,
星座链球菌,,,,,,,,yes,
副胞内分枝杆菌,,,,,,,,yes,
轮生镰刀菌,,,,,,,,yes,
按蚊伊丽莎白菌,,,,,,,,yes,
克氏柠檬酸杆菌,,,,,,,,yes,
植生拉乌尔菌,,,,,,,,yes,
食窦魏斯菌,,,,,,,,yes,
解鸟氨酸拉乌尔菌,,,,,,,,yes,
混淆魏斯菌,,,,,,,,yes,
乳明串珠菌,,,,,,,,yes,
多育节荚孢霉,,,,,,,,yes,
迟缓曲霉,,,,,,,,yes,
费比恩塞伯林德纳酵母,,,,,,,,yes,
平头刺盘孢,,,,,,,,yes,
严重急性呼吸窘迫综合征相关病毒(SARS病毒）,,,,,,,,yes,
克雷伯菌属,,,,,,,,yes,
拟平滑念珠菌,,,,,,,,yes,
曲霉属,,,,,,,,yes,
被孢霉*,,,,,,,,yes,
黑曲霉,,,,,,,,yes,
长梗木霉,,,,,,,,yes,
人类α疱疹病毒2型(HSV2),,,,,,,,yes,
盖尔森基兴诺卡菌,,,,,,,,yes,
和平空间站伊丽莎白菌,,,,,,,,yes,
脲原体属,,,,,,,,yes,
光孢青霉,,,,,,,,yes,
脓肿诺卡菌,,,,,,,,yes,
豚鼠耳炎诺卡菌,,,,,,,,yes,
阿氏肠杆菌,,,,,,,,yes,
克鲁维毕赤酵母,,,,,,,,yes,
长孢娄德酵母,,,,,,,,yes,
亚洲诺卡菌,,,,,,,,yes,
Inquilinus_limosus,,,,,,,,yes,
Trichodysplasia_spinulosa-associated_polyomavirus,,,,,,,,yes,
格特隐球菌种复合群,,,,,,,,yes,
路氏肠杆菌,,,,,,,,yes,
出芽短梗霉,,,,,,,,yes,
挪威毕赤酵母,,,,,,,,yes,
微小陌生菌,,,,,,,,yes,
特立科拉毕赤酵母,,,,,,,,yes,
产黑色素短梗霉,,,,,,,,yes,
尖孢镰刀菌,,,,,,,,yes,
弗尼斯弧菌,,,,,,,,yes,
醋酸钙不动杆菌,,,,,,,,yes,
wu多瘤病毒,,,,,,,,yes,
沃滋沃军团菌,,,,,,,,yes,
松鼠葡萄球菌,,,,,,,,yes,
新星诺卡菌,,,,,,,,yes,
禾谷镰刀菌,,,,,,,,yes,
胶红酵母,,,,,,,,yes,
伤痛无色杆菌,,,,,,,,yes,
橘绿木霉,,,,,,,,yes,
多瑞卡分枝杆菌,,,,,,,,yes,
恶臭假单胞菌,,,,,,,,yes,
腐皮丛赤壳菌,,,,,,,,yes,
奥默柯达菌,,,,,,,,yes,
奇美拉分枝杆菌,,,,,,,,yes,
中间念珠菌,,,,,,,,yes,
皮疽诺卡菌,,,,,,,,yes,
Moesziomyces_antarcticus,,,,,,,,yes,
假肺炎链球菌,,,,,,,,yes,
[Candida]_nivariensis,,,,,,,,yes,
意大利青霉,,,,,,,,yes,
阿萨西毛孢子菌,,,,,,,,yes,
细环病毒10型,,,,,,,,yes,
龟分枝杆菌,,,,,,,,yes,
禽腮腺炎病毒1型,,,,,,,,yes,
人正肺病毒,,,,,,,,yes,
胃梭菌,,,,,,,,yes,
鱼腥味锥形杆菌,,,,,,,,yes,
巴隆普雷沃菌,,,,,,,,yes,
解肝素拟杆菌,,,,,,,,yes,
怯生艰难杆菌,,,,,,,,yes,
口腔消化链球菌,,,,,,,,yes,
微小微单胞菌,,,,,,,,yes,
极小陌生菌,,,,,,,,yes,
肺孢子菌属,,,,,,,,yes,
曼舒里卡毕赤酵母,,,,,,,,yes,
波氏赛多孢霉,,,,,,,,yes,
苍白普雷沃菌,,,,,,,,yes,
浅黄奈瑟菌,,,,,,,,yes,
福赛斯坦纳菌,,,,,,,,yes,
非典型韦荣球菌,,,,,,,,yes,
索氏密螺旋体,,,,,,,,yes,
副血链球菌,,,,,,,,yes,
简明弯曲菌,,,,,,,,yes,
利氏二氧化碳噬纤维菌,,,,,,,,yes,
龈沟产线菌,,,,,,,,yes,
溶血葡萄球菌,,,,,,,,yes,
巴西青霉,,,,,,,,yes,
乳酸片球菌,,,,,,,,yes,
异常威克汉姆酵母,,,,,,,,yes,
解脲脲原体,,,,,,,,yes,
疣状篮状菌,,,,,,,,yes,
Magnusiomyces_capitatus,,,,,,,,yes,
似平滑念珠菌,,,,,,,,yes,
灰黄青霉,,,,,,,,yes,
分枝横梗霉,,,,,,,,yes,
细环病毒12型,,,,,,,,yes,
弗瑞青霉,,,,,,,,yes,
前庭链球菌,,,,,,,,yes,
沙眼衣原体,,,,,,,,yes,
多主棒孢霉,,,,,,,,yes,
解卵磷脂密螺旋体,,,,,,,,yes,
牙龈卟啉单胞菌,,,,,,,,yes,
苛求依赖杆菌,,,,,,,,yes,
衣氏放线菌,,,,,,,,yes,
曲霉*（Aspergillus_turcosus）,,,,,,,,yes,
微生子梭杆菌,,,,,,,,yes,
不解糖孪生球菌,,,,,,,,yes,
威隆气单胞菌,,,,,,,,yes,
分枝杆菌属,,,,,,,,yes,
黏金黄杆菌,,,,,,,,yes,
加氏乳球菌,,,,,,,,yes,
猪葡萄球菌,,,,,,,,yes,
絮状支原体,,,,,,,,yes,
莫氏细小杆菌,,,,,,,,yes,
不解乳假枝杆菌,,,,,,,,yes,
解脲弯曲菌,,,,,,,,yes,
粗球孢子菌,,,,,,,,yes,
人类免疫缺陷病毒1型,,,,,,,,yes,
细环病毒8型,,,,,,,,yes,
阴道毛滴虫,,,,,,,,yes,
支原体*,,,,,,,,yes,
塞氏柠檬酸杆菌,,,,,,,,yes,
耐久肠球菌,,,,,,,,yes,
细环病毒27型,,,,,,,,yes,
球孢子菌属,,,,,,,,yes,
帕万氏窄食单胞菌,,,,,,,,yes,
马氏军团菌,,,,,,,,yes,
外瓶霉*,,,,,,,,yes,
爪甲曲霉,,,,,,,,yes,
层生镰刀菌,,,,,,,,yes,
泡盛曲霉,,,,,,,,yes,
停乳链球菌,,,,,,,,yes,
耳念珠菌,,,,,,,,yes,
德氏根霉,,,,,,,,yes,
非脱羧勒克菌,,,,,,,,yes,
赤曲霉,,,,,,,,yes,
季也蒙麦尔酵母菌,,,,,,,,yes,
镰刀菌*,,,,,,,,yes,
菌核青霉,,,,,,,,yes,
中等密螺旋体,,,,,,,,yes,
中间普雷沃菌,,,,,,,,yes,
缓慢布雷德菌,,,,,,,,yes,
棘状外瓶霉,,,,,,,,yes,
文氏密螺旋体,,,,,,,,yes,
坦纳拟普雷沃菌,,,,,,,,yes,
Phocaeicola_abscessus,,,,,,,,yes,
纤细弯曲菌,,,,,,,,yes,
栖居普雷沃菌,,,,,,,,yes,
人类博卡病毒1型,,,,,,,,yes,
毛孢子菌*,,,,,,,,yes,
人多瘤病毒10型,,,,,,,,yes,
棉子糖肠球菌,,,,,,,,yes,
口腔脱硫微菌,,,,,,,,yes,
土壤不动杆菌,,,,,,,,yes,
米赫根毛霉,,,,,,,,yes,
豚鼠气单胞菌,,,,,,,,yes,
汤氏不动杆菌,,,,,,,,yes,
中间链球菌,,,,,,,,yes,
胸膜炎普雷沃菌,,,,,,,,yes,
婴儿链球菌,,,,,,,,yes,
藤黄短杆菌,,,,,,,,yes,
栖土梭孢壳,,,,,,,,yes,
小斯莱克菌,,,,,,,,yes,
古德费诺假纤毛菌,,,,,,,,yes,
Peptoanaerobacter_stomatis,,,,,,,,yes,
Ogataea_polymorpha,,,,,,,,yes,
堪萨斯分枝杆菌,,,,,,,,yes,
粪类拟杆菌,,,,,,,,yes,
齿垢密螺旋体,,,,,,,,yes,
欧尔森菌*,,,,,,,,yes,
蟾蜍分枝杆菌,,,,,,,,yes,
伞状横梗霉,,,,,,,,yes,
口腔普雷沃菌,,,,,,,,yes,
树胶欧尔森菌,,,,,,,,yes,
欣氏鲍特菌,,,,,,,,yes,
产黑色普雷沃菌,,,,,,,,yes,
假肠膜明串珠菌,,,,,,,,yes,
葡萄牙柠檬酸杆菌,,,,,,,,yes,
生痰新月形单胞菌,,,,,,,,yes,
食果胶密螺旋体,,,,,,,,yes,
斐济曲霉,,,,,,,,yes,
迟缓埃格菌,,,,,,,,yes,
Enterocloster_citroniae,,,,,,,,yes,
[Clostridium]_hylemonae,,,,,,,,yes,
